"","x"
"1280","C10orf88"
"1281","C10orf90"
"1282","C11orf1"
"1283","C11orf24"
"1284","C11orf45"
"1285","C11orf49"
"1286","C11orf54"
"1287","C11orf58"
"1288","C11orf65"
"1289","C11orf68"
"1290","C11orf71"
"1291","C11orf74"
"1292","C11orf80"
"1293","C11orf94"
"1294","C11orf95"
"1295","C11orf96"
"1296","C11orf98"
"1297","C12orf10"
"1298","C12orf29"
"1299","C12orf4"
"1300","C12orf43"
"1301","C12orf45"
"1302","C12orf49"
"1303","C12orf50"
"1304","C12orf57"
"1305","C12orf60"
"1306","C12orf65"
"1307","C12orf66"
"1308","C12orf73"
"1309","C12orf75"
"1310","C12orf76"
"1311","C13orf46"
"1312","C14orf119"
"1313","C14orf178"
"1314","C14orf28"
"1315","C14orf39"
"1316","C14orf93"
"1317","C15orf39"
"1318","C15orf40"
"1319","C15orf41"
"1320","C15orf48"
"1321","C15orf61"
"1322","C15orf62"
"1323","C15orf65"
"1324","C16orf46"
"1325","C16orf58"
"1326","C16orf70"
"1327","C16orf71"
"1328","C16orf72"
"1329","C16orf74"
"1330","C16orf86"
"1331","C16orf87"
"1332","C16orf89"
"1333","C16orf91"
"1334","C16orf95"
"1335","C17orf100"
"1336","C17orf49"
"1337","C17orf53"
"1338","C17orf58"
